Id,SalePrice
1461,88694.29
1462,529581.7
1463,200402.7
1464,259886.78
1465,189555.73
1466,217270.9
1467,114840.65
1468,246188.28
1469,206409.94
1470,113173.875
1471,111901.98
1472,112165.266
1473,121568.85
1474,134697.12
1475,146514.92
1476,295302.3
1477,202207.97
1478,249753.9
1479,245263.8
1480,387682.7
1481,319688.44
1482,226934.8
1483,230278.72
1484,191470.22
1485,279151.0
1486,267647.3
1487,216713.8
1488,272998.9
1489,151708.33
1490,269514.1
1491,240979.7
1492,79421.08
1493,91130.984
1494,414715.03
1495,289818.12
1496,213798.58
1497,151321.78
1498,92864.266
1499,102475.86
1500,124888.336
1501,257503.12
1502,137409.62
1503,134284.77
1504,278174.28
1505,265365.0
1506,215154.12
1507,353878.8
1508,239163.92
1509,167993.28
1510,186018.73
1511,138060.25
1512,191167.45
1513,194379.83
1514,98432.016
1515,176701.92
1516,149283.92
1517,177581.4
1518,190508.3
1519,182579.95
1520,104905.234
1521,158244.98
1522,246159.66
1523,154023.72
1524,210905.92
1525,112446.19
1526,215370.03
1527,215289.17
1528,98152.82
1529,156845.52
1530,114331.58
1531,151295.53
1532,55849.98
1533,104427.86
1534,114447.984
1535,148691.28
1536,160400.08
1537,39176.008
1538,113800.06
1539,201806.38
1540,65781.26
1541,176583.66
1542,57158.938
1543,155459.3
1544,39213.4
1545,86857.81
1546,133602.17
1547,51186.254
1548,132239.6
1549,104976.15
1550,114425.77
1551,147585.92
1552,123569.52
1553,117210.7
1554,135219.77
1555,233164.0
1556,40473.887
1557,60039.805
1558,73083.44
1559,48876.887
1560,77835.77
1561,56359.805
1562,119649.61
1563,201932.81
1564,143246.53
1565,99860.83
1566,123606.58
1567,104595.805
1568,176634.33
1569,145519.75
1570,215506.12
1571,95482.734
1572,206591.95
1573,165748.97
1574,94017.52
1575,84588.48
1576,209690.94
1577,190425.58
1578,215578.03
1579,67805.164
1580,241255.42
1581,124762.27
1582,142805.6
1583,282824.2
1584,295017.03
1585,156385.12
1586,22358.291
1587,111495.96
1588,150422.31
1589,77260.64
1590,164396.1
1591,75079.94
1592,62992.18
1593,221139.1
1594,14395.002
1595,128834.6
1596,173015.4
1597,251088.4
1598,234242.58
1599,101128.03
1600,91165.59
1601,58781.668
1602,101321.36
1603,51223.594
1604,107969.35
1605,322571.94
1606,119901.56
1607,206197.16
1608,189851.92
1609,193898.2
1610,222043.84
1611,155505.73
1612,217289.45
1613,277410.9
1614,98016.34
1615,91334.0
1616,94500.26
1617,117631.98
1618,118642.75
1619,177536.55
1620,114535.65
1621,128288.016
1622,153185.69
1623,126096.164
1624,243600.22
1625,165366.22
1626,199338.28
1627,251067.66
1628,322779.34
1629,149360.98
1630,470015.84
1631,372927.72
1632,297419.72
1633,221486.16
1634,237693.83
1635,229136.6
1636,188376.9
1637,194862.92
1638,216780.55
1639,249693.03
1640,336930.25
1641,259672.5
1642,172328.31
1643,181134.1
1644,212592.78
1645,126410.625
1646,125144.1
1647,182553.6
1648,157925.58
1649,175535.67
1650,137386.39
1651,81383.016
1652,137152.83
1653,118557.125
1654,143451.7
1655,155823.72
1656,163072.25
1657,204922.47
1658,163553.47
1659,203315.55
1660,143429.73
1661,383760.8
1662,413325.34
1663,344116.97
1664,285258.7
